Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
ERCİYES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KAYSERİ,21637,SOZ
İSTANBUL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",İSTANBUL,21979,SOZ
FIRAT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ELAZIĞ,22022,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),MUĞLA,22348,SOZ
SELÇUK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KONYA,22844,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),İZMİR,22993,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),BOLU,23035,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ KKTC Akademik Birim (Lefkoşa) Akademik Kadro,Özel Eğitim Öğretmenliği (Burslu) (4 Yıllık),ANKARA,23212,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KAHRAMANMARAŞ,23421,SOZ
PAMUKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),DENİZLİ,23423,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KONYA,23482,SOZ
ADIYAMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ADIYAMAN,23492,SOZ
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ANTALYA,23678,SOZ
