Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,El Sanatları (4 Yıllık),ANKARA,347821,SOZ
GAZİANTEP ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",GAZİANTEP,347911,SOZ
BİTLİS EREN ÜNİVERSİTESİ Kanık Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),BİTLİS,348526,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ANKARA,349648,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),BOLU,349737,SOZ
İZMİR DEMOKRASİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İZMİR,349934,SOZ
IĞDIR ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),IĞDIR,352165,SOZ
PAMUKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (KKTC Uyruklu) (4 Yıllık),DENİZLİ,354240,SOZ
ŞIRNAK ÜNİVERSİTESİ Turizm ve Otel İşletmeciliği Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),ŞIRNAK,354618,SOZ
ÇUKUROVA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),ADANA,355181,SOZ
SİİRT ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),SİİRT,356013,SOZ
İSTANBUL ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (Uzaktan Öğretim) (4 Yıllık),İSTANBUL,356303,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),NEVŞEHİR,356439,SOZ
KOCAELİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),KOCAELİ,356444,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),BURDUR,356687,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),HATAY,356825,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),VAN,357037,SOZ
ERCİYES ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),KAYSERİ,357791,SOZ
ERCİYES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",KAYSERİ,359807,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Rekreasyon Yönetimi (Fakülte) (4 Yıllık),ANKARA,360318,SOZ
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),GAZİANTEP,361312,SOZ
ERCİYES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),KAYSERİ,362049,SOZ
ARDAHAN ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),ARDAHAN,364575,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),ESKİŞEHİR,368601,SOZ
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),SAKARYA,368716,SOZ
ERCİYES ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),KAYSERİ,368905,SOZ
AKSARAY ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),AKSARAY,369432,SOZ
MERSİN ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),MERSİN,369501,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),KONYA,371268,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (Arapça)(M.T.O.K.) (4 Yıllık),BOLU,372013,SOZ
KASTAMONU ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),KASTAMONU,376330,SOZ
TRABZON ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),TRABZON,377624,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),KAHRAMANMARAŞ,377645,SOZ
"SAMSUN ÜNİVERSİTESİ İktisadi, İdari ve Sosyal Bilimler Fakültesi Akademik Kadro",Coğrafya (4 Yıllık),SAMSUN,377923,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),NEVŞEHİR,378056,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),SİVAS,378464,SOZ
YALOVA ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (Arapça) (M.T.O.K.) (4 Yıllık),YALOVA,378470,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),NEVŞEHİR,378546,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),AFYONKARAHİSAR,378691,SOZ
PAMUKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),DENİZLİ,380815,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),MANİSA,380933,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),AYDIN,381164,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),OSMANİYE,381263,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KÜTAHYA,382264,SOZ
GAZİANTEP ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),GAZİANTEP,382836,SOZ
HİTİT ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ÇORUM,383786,SOZ
SELÇUK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),KONYA,384011,SOZ
AKDENİZ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANTALYA,384171,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ZONGULDAK,385326,SOZ
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),SAKARYA,387395,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ISPARTA,388318,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ÇANAKKALE,390206,SOZ
PAMUKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),DENİZLİ,391494,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),SİVAS,392686,SOZ
ANKARA ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Gazetecilik (Uzaktan Öğretim) (4 Yıllık),ANKARA,393452,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ İlahiyat Fakültesi (M.T.O.K.) Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ERZİNCAN,394144,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),İZMİR,394825,SOZ
FIRAT ÜNİVERSİTESİ İnsani ve Sosyal Bilimler Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ELAZIĞ,396214,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),HATAY,397209,SOZ
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Ömer Seyfettin Uygulamalı Bilimler Fakültesi Akademik Kadro,Yeni Medya ve İletişim (İÖ) (4 Yıllık),BALIKESİR,397463,SOZ
ORDU ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ORDU,398255,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),BOLU,399084,SOZ
SAKARYA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),SAKARYA,400725,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),NEVŞEHİR,405388,SOZ
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),KIRŞEHİR,406309,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),ZONGULDAK,406908,SOZ
TRABZON ÜNİVERSİTESİ İlahiyat Fakültesi (İÖ) Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),TRABZON,406997,SOZ
GAZİANTEP ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),GAZİANTEP,408507,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),RİZE,408979,SOZ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),AĞRI,410640,SOZ
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),TEKİRDAĞ,411519,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),BURDUR,413964,SOZ
FIRAT ÜNİVERSİTESİ İnsani ve Sosyal Bilimler Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ELAZIĞ,414450,SOZ
KIRIKKALE ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KIRIKKALE,415160,SOZ
KASTAMONU ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KASTAMONU,415594,SOZ
UŞAK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),UŞAK,415969,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BURDUR,416013,SOZ
KOCAELİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KOCAELİ,416944,SOZ
UŞAK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),UŞAK,419953,SOZ
BALIKESİR ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Rekreasyon Yönetimi (Fakülte) (4 Yıllık),BALIKESİR,420592,SOZ
DÜZCE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),DÜZCE,422670,SOZ
BALIKESİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),BALIKESİR,422922,SOZ
GİRESUN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),GİRESUN,422945,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),İZMİR,423133,SOZ
AMASYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),AMASYA,423179,SOZ
KAYSERİ ÜNİVERSİTESİ Develi İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KAYSERİ,426210,SOZ
"DÜZCE ÜNİVERSİTESİ Sanat, Tasarım ve Mimarlık Fakültesi Akademik Kadro","Radyo, Televizyon ve Sinema (4 Yıllık)",DÜZCE,426818,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),AFYONKARAHİSAR,427203,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Güzel Sanatlar ve Mimarlık Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",KONYA,427357,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,427536,SOZ
SELÇUK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),KONYA,428287,SOZ
"SAMSUN ÜNİVERSİTESİ İktisadi, İdari ve Sosyal Bilimler Fakültesi Akademik Kadro",İletişim Tasarımı ve Yönetimi (4 Yıllık),SAMSUN,428893,SOZ
ANKARA ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (Uzaktan Öğretim) (4 Yıllık),ANKARA,429618,SOZ
ADIYAMAN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ADIYAMAN,429793,SOZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),KARAMAN,429929,SOZ
DİCLE ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),DİYARBAKIR,431892,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),BOLU,432706,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (İÖ) (4 Yıllık),KOCAELİ,433735,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Tarih (4 Yıllık),KONYA,435090,SOZ
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),NİĞDE,435571,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),MANİSA,437134,SOZ
MARDİN ARTUKLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),MARDİN,441567,SOZ
KIRIKKALE ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),KIRIKKALE,442352,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),BOLU,442634,SOZ
DİCLE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),DİYARBAKIR,443527,SOZ
ANKARA ÜNİVERSİTESİ Açık ve Uzaktan Eğitim Fakültesi Akademik Kadro,Coğrafya (Uzaktan Öğretim) (4 Yıllık),ANKARA,444904,SOZ
UŞAK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Yeni Medya ve İletişim (4 Yıllık),UŞAK,445568,SOZ
BALIKESİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),BALIKESİR,446384,SOZ
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),TEKİRDAĞ,446724,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ISPARTA,448067,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",VAN,451089,SOZ
ATATÜRK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ERZURUM,452845,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),KAHRAMANMARAŞ,453272,SOZ
AKSARAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),AKSARAY,455164,SOZ
İNÖNÜ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),MALATYA,455196,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KÜTAHYA,455352,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Çağdaş Türk Lehçeleri ve Edebiyatları (4 Yıllık),ANKARA,455376,SOZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),KARAMAN,455641,SOZ
DİCLE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),DİYARBAKIR,457108,SOZ
BALIKESİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (İÖ) (4 Yıllık),BALIKESİR,457683,SOZ
HARRAN ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ŞANLIURFA,458073,SOZ
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),NİĞDE,460249,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ÇANAKKALE,460509,SOZ
GİRESUN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),GİRESUN,460789,SOZ
GİRESUN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),GİRESUN,461215,SOZ
İNÖNÜ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),MALATYA,461249,SOZ
SELÇUK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Reklamcılık (4 Yıllık),KONYA,461678,SOZ
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),BALIKESİR,461849,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),MUĞLA,461957,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),ISPARTA,462032,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İletişim Fakültesi (Çarşamba) Akademik Kadro,Gazetecilik (4 Yıllık),SAMSUN,462088,SOZ
SELÇUK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),KONYA,462672,SOZ
DİCLE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),DİYARBAKIR,462817,SOZ
UŞAK ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",UŞAK,462894,SOZ
PAMUKKALE ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),DENİZLİ,463810,SOZ
YOZGAT BOZOK ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),YOZGAT,464362,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (İÖ) (4 Yıllık),BOLU,464895,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Geleneksel Türk Sanatları (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,464947,SOZ
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ Turizm Fakültesi (Sapanca) Akademik Kadro,Rekreasyon Yönetimi (Fakülte) (4 Yıllık),SAKARYA,465067,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),MANİSA,466342,SOZ
MARDİN ARTUKLU ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),MARDİN,467508,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Halkbilimi (4 Yıllık),ANKARA,467883,SOZ
ERZURUM TEKNİK ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ERZURUM,469426,SOZ
ARTVİN ÇORUH ÜNİVERSİTESİ İlahiyat Fakültesi (Hopa) Akademik Kadro,İlahiyat (4 Yıllık),ARTVİN,469767,SOZ
ÇUKUROVA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),ADANA,470836,SOZ
HİTİT ÜNİVERSİTESİ İlahiyat Fakültesi (M.T.O.K.) Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ÇORUM,472793,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Tarih (İÖ) (4 Yıllık),ÇANAKKALE,473045,SOZ
KARABÜK ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),KARABÜK,473635,SOZ
ORDU ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ORDU,476359,SOZ
TRAKYA ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),EDİRNE,476885,SOZ
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BİLECİK,477757,SOZ
KARABÜK ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),KARABÜK,478407,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),OSMANİYE,478635,SOZ
UŞAK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),UŞAK,482218,SOZ
ERCİYES ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),KAYSERİ,482424,SOZ
AKSARAY ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (M.T.O.K.) (M.T.O.K.) (4 Yıllık),AKSARAY,482471,SOZ
